Particulars,Voucher Type
I KULL PLUS E/D,Pharma
CIPLOX 250MG (10 TAB),Pharma
ACEMIZ MR (10 TAB),Pharma
OLMEZEST AM 40 (10 TAB),Pharma
AVAS 40MG (10 TAB),Pharma
HIMALAYA KOFLET SYRUP (100ML),Pharma
ACCU CHECK INSTANT STRIPS (50N),Pharma
WHISPER B N KOALA SOFT XXL+ 5 NOS,Pharma
BOROPLUS CREAM (19ML),Pharma
NICE GLYCERIN (20GM),Pharma
BIO D3 XT (15 TAB),Pharma
AMLIP 2.5MG (10 TAB),Pharma
ROSUDIL 10MG (10 TAB),Pharma
GLYCOMET GP 4 FORTE (10 TAB),Pharma
SENSODYNE FRESH GEL (40GM),Pharma
HAMDARD BADAM ROGHAN OIL (100ML),Pharma
COTTON 300 GM BIOCOTT,Pharma
DIAMOND E/D (10ML),Pharma
ALEX LS COUGH SYRUP (100ML),Pharma
DYTOR PLUS 10 (15 TAB),Pharma
LOBET 100MG (10 TAB),Pharma
UJALA E/D (10ML),Pharma
AMLONG -H (15 TAB),Pharma
SOMPRAZ 40MG (15 TAB),Pharma
EVION LC (10 TAB),Pharma
GABANEURON NT 100 (15 TAB),Pharma
REVITAL H WOMEN  (30 CAP),Pharma
CHYMORAL FORTE (20 TAB),Pharma
SUPRADYN DAILY (60 TAB),Pharma
SENSODYNE  BRUSH 35,Pharma
DABUR JAMUN NEEM KARELA JUICE 1LTR,Pharma
MEDI WRAP BELLADONNA PLASTER,Pharma
LEFRA-10MG (10 TAB),Pharma
CONCOR 5MG (10 TAB),Pharma
HCQS 300MG (15 TAB),Pharma
THYRONORM 75 MCG (120 TAB),Pharma
TAZLOC AM 40 (10 TAB),Pharma
KETOCIP SHAMPOO 1% (100ML),Pharma
DINOGEST 2MG (10 TAB),Pharma
AMITOP 10MG (10 TAB),Pharma
THERMOSEAL PROXA NS,Pharma
ORG IND TULSI GINGER,Pharma
VOMILAST (30 TAB),Pharma
SOFY ANTIBACTERIA OVERNIGHT XXL (5NOS),Pharma
DABUR HONEY SQUEEZY (225GM),Pharma
LIVEASY COTTON BUDS (200N),Pharma
MINIMALIST PENTA CERA 1% MOISTURIZER CREAM  50GM,Pharma
STIM FLOSS,Pharma
AMLYCURE D.S. (20 CAP),Pharma
BIOTIQUE  FACE SCRUB (100ML),Pharma
MELABEST CREAM (15GM ),Pharma
VASELINE DEEP MOISTURE  LOTION  200ML,Pharma
MEDROL 4MG (10 TAB),Pharma
PAMPER PANTS XXL14,Pharma
EVION 600MG (10 CAP),Pharma
V WASH (100ML),Pharma
POLO,Pharma
GRAIN P (10 TAB),Pharma
ROSYCAP- ASP 10/75 (15 CAP),Pharma
SIBELIUM 5MG (30 TAB),Pharma
ETOFORD 90MG (10TAB),Pharma
TELVAS 20MG (15 TAB),Pharma
HAMDARD SUALIN (60 TAB),Pharma
MORISONS FEEDING BOTTLE GLASS 250ML,Pharma
UPRISE D3 60K (12 CAP),Pharma
ZERODOL CR (10 TAB),Pharma
EVERYUTH F/W 50GM,Pharma
TENDOSOFT (10 TAB),Pharma
NAPRA D 250 (10 TAB),Pharma
GLUCOPLUS C ORANGE 200GM,Pharma
DABUR HONEY (20GM),Pharma
NEBISTAR 5MG (15 TAB),Pharma
ZYLORIC 100MG (10 TAB),Pharma
HIMALAYA PUREHANDS HAND SANITIZER (500ML),Pharma
VILACT M 1000 (10 TAB),Pharma
AMARYL M 1 (20 TAB),Pharma
RASALECT 1MG (10 TAB),Pharma
SYNDOPA PLUS ( 15 TAB),Pharma
ORCERIN (10 CAP),Pharma
MANFORCE EPIC CONDOM 1*10,Pharma
CORECTIA (10 TAB),Pharma
ALKACIP SYRUP (100ML),Pharma
NICOTEX 2MG TIN PACK,Pharma
MUCINAC 600MG (10 TAB),Pharma
PROTERA I ( 10 CAP),Pharma
DABUR TRIPHALA CHURNA (120GM),Pharma
CALCIGEN D3 (4 CAP),Pharma
HEDFREE (2 TAB),Pharma
MEDISIST ADV HAND SANITIZER 100ML,Pharma
TRIGLYNASE 1MG (10 TAB),Pharma
BIO OIL 25ML,Pharma
SEBODEL SPRAY (50MG),Pharma
WOODWARDS GRIPE WATER (130ML),Pharma
ALEX LOZENGES (10 TAB) SF,Pharma
REACTINE PLUS (10 TAB),Pharma
CYRA 20MG (10 TAB),Pharma
CALAPTIN 120 SR (15 TAB),Pharma
SELOKEN XL 25 (30 TAB),Pharma
SELSUN S (SHAMPOO + CONDITIONER 120ML),Pharma
BENADRYL COUGH SYRUP (50ML),Pharma
ACITROM 3MG (30 TAB),Pharma
BETNOVATE C CREAM (30GM),Pharma
LEVOLIN RESPULES (0.63MG),Pharma
ODOMOS CREAM 23 GM,Pharma
NEOSPORIN SKIN OINT (30GM),Pharma
SF DRY MAX ALL NIGHT ULTRA DRY XXL 7NS,Pharma
LULIFIN CREAM (30GM),Pharma
TDS GEL (50GM),Pharma
DOLONEX DT 20MG (15 TAB),Pharma
CALCIJOINT D3 SHOTS (4*5ML),Pharma
AMODEP AT (15 TAB),Pharma
PONDS BRIGHT BEAUTY F/W  50 GM,Pharma
MISS CARE WET WIPES 25NOS,Pharma
KAYAM CHURNA (120GM),Pharma
CORONATION EXAMINATION GLOVES MEDIUM,Pharma
RESCURE 3PLY MASK,Pharma
DEXORANGE SYRUP (200ML),Pharma
PAMPER PANTS XL2,Pharma
DEPSONIL 25MG (10 TAB),Pharma
ALLEGRA 120MG (10TAB),Pharma
METOSARTAN 50 (10 TAB),Pharma
HHSONE CREAM (10GM),Pharma
MEFTAL P SUSPENSION (60ML),Pharma
CHYMORAL PLUS (15 TAB),Pharma
BECOSULES Z (20 CAP),Pharma
OTRIVIN MOIST A NASAL DROPS (10ML),Pharma
RX DBF 1.50 Tr6 Titus,Others
FC7653 C3 S,Others
Pitt & Mitt 005P C5 47,Others
I PILL TAB,Pharma
M2 TONE SYRUP (200ML),Pharma
SF SECURE COTTONY REGULAR (6 NOS),Pharma
ATORLIP 10MG (15 TAB),Pharma
GLIZID M XR 60 (10 TAB),Pharma
TELMIKIND 40MG (10 TAB),Pharma
ATCHOL 20MG (10 TAB),Pharma
RYZODEG PENFILL 5X3ML,Pharma
DABUR PARTHADYARISHTA (450ML),Pharma
PATANJALI ANTI WRINKLE CREAM 50 GM,Pharma
DAPANORM M 5 (10 TAB),Pharma
LETROZ 2.5MG (5 TAB),Pharma
FOLVITE (45 TAB),Pharma
FEZORB (10 TAB),Pharma
WARSTONE DS SYRUP (300ML) SF,Pharma
NEBICARD 5MG (10 TAB),Pharma
SAFE SHIELD N95 MASK HL,Pharma
GLISEN MF 2 (15 TAB),Pharma
ENCELIN D 10 (10 TAB),Pharma
BOROLINE CREAM 20 GM,Pharma
OFLOX E/D (5ML),Pharma
SENSODYNE REPAIRE AND PROTECT (70GM),Pharma
EMBETA XR 50 (30 TAB),Pharma
SAT ISABGOL TEL. Sachet 10gm,Pharma
GODREJ CREME D BROWN NO 4.06,Pharma
SITAPRIDE M 50/500 (15 TAB),Pharma
BOROLINE SUTHOL LIQUID (200ML),Pharma
HIMALAYA NEEM F/W (50ML),Pharma
NAPROSYN 500+ (15 TAB),Pharma
ACNESTAR GEL (20GM),Pharma
ESOMEFOL DSR (10 CAP),Pharma
AMARYL 2MG (30 TAB),Pharma
VENPRES 20MG (10 TAB),Pharma
ECOSPRIN AV 75 (15 CAP),Pharma
NODOSIS DS (15 TAB),Pharma
PREGABID 50MG (10 CAP),Pharma
KOKILA MEHANDI 500 GM,Pharma
VOLINI MAXX GEL (30GM),Pharma
NEXITO 5MG (10 TAB),Pharma
ARKAMIN (30 TAB),Pharma
TELLZY AM (15 TAB),Pharma
CURKEY SYRUP (60ML),Pharma
DOXYCEPT TAB,Pharma
METROGYL ER (10 TAB),Pharma
TYNOR KNEE CAP M,Pharma
COTTON BANDAGE 5 CM (2 inch.),Pharma
OFLOX D E/D (10ML),Pharma
SEBODRUF S SOL (100ML),Pharma
ZYDIP LOTION (50ML),Pharma
NOVELON 0.15MG/0.03MG (21TAB),Pharma
JOHNSONS BABY CREAM (100GM),Pharma
GA 6% CREAM (30GM),Pharma
DETTOL LIQUID POUCH (3PACKS),Pharma
ACILOC 300MG (20 TAB),Pharma
ACILOC 150MG (30 TAB),Pharma
BENFOMET FORTE (10 TAB),Pharma
CALCIGEN D3 NANO SHOT 4*5ML,Pharma
CHICCO ANTI-COLIC NIPPLE 4+ MONTH (2PCS),Pharma
VERIFICA M 50/1000 (15 TAB),Pharma
DIAMICRON XR 60MG (15 TABS),Pharma
FEM CREAM BLEECH GOLD (40GM),Pharma
VEET HR CREAM WOMEN (30GM),Pharma
POCKET TISSUE 10 PCS,Pharma
THREPTIN DISKETTES (1000GM),Pharma
ORAL B BRUSH RS 30,Pharma
VASELINE COCOA BUTTER JELLY (21GM),Pharma
PARK AVENUE DEO SHOT 40ML,Pharma
FEM DE-TAN CREAM BLEACH ( 10GM ),Pharma
NIVEA CREAM 60ML,Pharma
ROZUCOR 10MG (10 TAB),Pharma
MELOSET 3MG (10 TAB),Pharma
DABUR BADAM ROGHAN OIL (100ML),Pharma
ENERZAL ORANGE (100GM),Pharma
ISOTROIN 20MG (15 CAP),Pharma
DETTOL WET WIPES (10NOS),Pharma
WHISPER CHOICE XL 18NOS,Pharma
WHISPER ULTRA HYGIENE XL+ 50 NOS,Pharma
ZYTEE GEL (10ML),Pharma
EXERMET 1000 SR (15 TAB),Pharma
ORASORE GEL (12GM),Pharma
SYSRON-N (10 TAB),Pharma
GLUCORYL M2 FORTE (15 TAB),Pharma
HIMALAYA HADJOD (60 TAB),Pharma
WHISPER CHOICE ULTRA XL 20NOS,Pharma
LUX BODY WASH (245ML),Pharma
NIVEA SHOWER GEL 250ml,Pharma
OXALGIN DP (15 TAB),Pharma
BECOZYME C FORTE (15 TAB),Pharma
MOTHER CARE BABY OIL 300ML,Pharma
BAIDYANATH MAHABHRINGRAJ TEL (100ML),Pharma
FEBUTAX 40MG (10 TAB),Pharma
THERMOSEAL REPAIR TOOTHPASTE (100GM),Pharma
DEBISTAL GM 2 (10TAB),Pharma
NEBICARD T (10 TAB),Pharma
ROSUBEST F (10TAB),Pharma
HIMALAYA ALOE VERA F/W (100ML),Pharma
REESHAPE 60MG (15 CAP),Pharma
TAZLOC TRIO 40 (10 TAB),Pharma
URIMAX D (30TAB),Pharma
DETTOL ANTISEPTIC LIQUID 250 ML,Pharma
CALAPTIN 80MG (30 TAB),Pharma
GABAFIX GEL (30GM),Pharma
IODEX ULTRA GEL (30GM),Pharma
METOLAR AM 50 (10 TAB),Pharma
DDR 30MG (10 CAP),Pharma
SEBOWASH SHAMPOO 125 ML,Pharma
KEO KARPIN HAIR OIL (100ML),Pharma
PARACHUTE OIL (175ML),Pharma
OMNIGEL GEL (30GM),Pharma
SENSODYNE FRESH GEL (75GM),Pharma
AZEE DRY SYRUP 100MG (15ML),Pharma
TONOFERON DROPS (15ML),Pharma
SAFE SHIELD 3PLY MASK BLUE,Pharma
TELMA BS (10 TAB),Pharma
GOODNIGHT REFIL,Pharma
BAJAJ ALMOND HAIR OIL (45ML),Pharma
FOL XT (15 TAB),Pharma
CORCIUM D3 (15 TAB),Pharma
PENTANERV NT 100 (10 TAB),Pharma
TELSAR BETA 50 (10 TAB),Pharma
BETACAP TR 40 (10 CAP),Pharma
ROZUCOR F 5 (10 TAB),Pharma
HUMAN ACTRAPID INJECTION  40IU/ML (10ML),Pharma
CREMAFFIN PLUS (225ML) SF,Pharma
DABUR GULABARI ROSE WATER (120ML),Pharma
TRILUMA CREAM (15GM),Pharma
GLIPTAGREAT M 500 (10 TAB),Pharma
WELTIVE- Q10 (10 CAP),Pharma
SUGAR POP LIP BALM,Pharma
NIVEA SOFT CREAM  25ml,Pharma
DOVE SOAP (60GM) MRP27,Pharma
M.POKO EXTRA M6,Pharma
PATANJALI ALOE KANTI GEL (100ML),Pharma
TRUFOL (30 TAB),Pharma
OVABLESS MYO (10 TAB),Pharma
A TO Z NS SYRUP (200ML),Pharma
A TO Z GOLD (15 CAP),Pharma
MARTIFUR 100MG (14 TAB),Pharma
METOLAR 25MG (15 TAB),Pharma
QUTIPIN 100MG (10 TAB),Pharma
S NUMLO 5 (15 TAB),Pharma
DYTOR PLUS LS 10 (15 TAB),Pharma
ROSUMAC GOLD 10 (10 CAP),Pharma
OLEANZ 5MG (10 TAB),Pharma
NEXPRO RD 20 (10 CAP),Pharma
PLETOZ 50MG (10 TAB),Pharma
COLIMEX (10 TAB),Pharma
COLGATE TOTAL 12 TOOTHPASTE (120GM),Pharma
PAN D (15 CAP),Pharma
HIMALAYA PARTY SMART (5 CAP),Pharma
LIVFIT SYRUP (200ML),Pharma
HEADSET (2 TAB),Pharma
PONDS BODY LOTION (90ML),Pharma
PONDS LIGHT MOISTURISER CREAM 25GM,Pharma
SIGNOFLAM (10 TAB),Pharma
GABAPIN 100MG (15 TAB),Pharma
MECONERV NP (10 TAB),Pharma
VYSOV M 50/500 (15 TAB),Pharma
TSART TRIO 6.25 (10 TAB),Pharma
SUNSILK SHAMPOO 5.5 ML POUCH BLACK,Pharma
MINIMALIST VITAMIN C&E SERUM 16% 20ML,Pharma
BENZAC AC 5% GEL (30GM),Pharma
GARNIER MEN ACNO FIGHT F/W 100GM,Pharma
JOHNSONS BABY OIL (100ML),Pharma
TELBID TRIO 40 (15 TAB),Pharma
CIPLAR LA 20 (15 TAB),Pharma
TIGER BALM RED (21ML),Pharma
HIMALAYA NEEM F/W (150ML/200ML),Pharma
GODREJ CREME N.BLACK NO 1,Pharma
HAMDARD JOSHINA COUGH SYRUP (200ML),Pharma
RESTASIS  0.05% E/D,Pharma
FORGLYN PLUS INHALER,Pharma
PONDS PURE DETOX F/W 100GM,Pharma
JOHNSONS BABY LOTION (100ML),Pharma
VITOMIN D3 SACHET,Pharma
DUREX MUTUAL  CLIMAX 10N,Pharma
PANDERM ++ CREAM (15GM),Pharma
CHICCO PASTE 6MN TO 6YRS,Pharma
ASTHALIN INHALER (100MCG),Pharma
VENPRES 40AM (10 TAB),Pharma
ECOSPRIN AV 75/20 (10 CAP),Pharma
OKAMET 500 (20 TAB),Pharma
GLIMDA 2 MG (10 TAB),Pharma
ABZORB DUSTING POWDER (100GM),Pharma
TELLZY ACH 80/5/12.5 (10 TAB),Pharma
DAPANORM TRIO FORTE (10 TAB),Pharma
WHISPER CHOICE REGULAR 6NOS,Pharma
DABUR ASHOKARISHTA (450ML),Pharma
GLYCO 6% CREAM (30GM),Pharma
WHISPER ULTRA SOFT AIR FRESH XL+ 15 PADS,Pharma
WHISPER PANTY LINERS NORM 20NOS,Pharma
MORISONS ANTI-COLIC NIPPLE (L),Pharma
DABUR RED TOOTHPASTE (18GM),Pharma
WOODWARDS GRIPE WATER (200ML),Pharma
LULICAN CREAM (20GM),Pharma
ETOSHINE MR (10 TAB),Pharma
GLOW & LOVELY MULTI VIT CREAM 50GM,Pharma
CASTOR NF CREAM (25GM),Pharma
Uprise D3 1K (15 CAP),Pharma
SENSODYNE FRESH GEL (150GM),Pharma
WHISPER PANTY LINERS NORM 40NOS,Pharma
HEAD AND SHOULDER SMOOTH SILKY SHAMPOO (180ML),Pharma
F. WASH ACNE NOSE MD,Pharma
HIMALAYA NATURAL GLOW KESAR F/W (50ML),Pharma
RABLET D (15 CAP),Pharma
FLEXON (15 TAB),Pharma
TORSIBID PLUS 10 LS (15 TAB),Pharma
DUREX CONDOM EXTRA TIME 1*3,Pharma
LACTOGEN NO. 2,Pharma
GRILINCTUS BM COUGH SYRUP (100ML),Pharma
LEE BIOTIC (10CAP),Pharma
SENQUEL F TOOTHPASTE (100GM),Pharma
PATE SAFA TAB 14,Pharma
SOFTOVAC POWDER (250GM) SF,Pharma
EKRAN AQUA GEL SPF30 (50GM),Pharma
DERMIFORD CREAM (25GM),Pharma
LUBREX E/D (10ML),Pharma
FESTIVE D E/D (10ML),Pharma
DROTIN M (10 TAB),Pharma
PIROX DT (10TAB),Pharma
TOPISAL 6% OINT (30GM),Pharma
BETACAP 20MG (10 TAB),Pharma
DETTOL HAND SANITIZER 200ml,Pharma
BETADINE SOLUTION 10% (100ML),Pharma
LIPVAS 10MG (10 TAB),Pharma
QUTIPIN 25MG (10 TAB),Pharma
SACHI SAHELI SYRUP (190/205ml),Pharma
DOVE SHAMPOO+CONDTNR POUCH 6ML,Pharma
HIMALAYA BLACKHEAD  WALNUT SCRUB (50GM),Pharma
MOBISWIFT D (10 TAB),Pharma
AMODEP TM (10 TAB),Pharma
HIMALAYA PLATENZA (20 TAB),Pharma
KANTHSUDHARAK VATTI (10GM),Pharma
GOODNIGHT ROLL ON,Pharma
AMODEP TMH (10 Tab),Pharma
PANTOCID L (10 CAP),Pharma
STATOR F (15 TAB),Pharma
COSART 50MG (10 TAB),Pharma
BETNOVATE -S CREAM (20GM),Pharma
TIGBODERM RF CREAM (15GM),Pharma
Shamir Autograph Plus 1.53 TrG8 Glacier UV,Others
REGESTRONE 5MG (10 TAB),Pharma
WHISPER ULTRA SOFT AIR FRESH XL+ 6 PCS,Pharma
ROPARK 0.5MG (10 TAB),Pharma
UNIENZYME (15 TAB),Pharma
ESGIPYRIN (15 TAB),Pharma
LEFRA 20MG (10 TAB),Pharma
NODOSIS 500MG (15 TAB),Pharma
NODOSIS 500MG (10 TAB),Pharma
EXPHENICOL EYE OINT ( 10 CAP),Pharma
SPORLAC AB 1 GM BANANA SACHET,Pharma
SF SECURE COTTONY XL WITH WINGS 6NOS,Pharma
BRUFEN 200MG (15 TAB),Pharma
DABUR HONITUS HOT SIP KADHA (30N),Pharma
X-FRESH DROP 10ML,Pharma
NAXDOM 250MG (15 TAB),Pharma
PARACIP 650 (10TAB),Pharma
ROPARK 0.25MG (10 TAB),Pharma
ORNI O (10 TAB),Pharma
STOLIN GUM ASTRIGENT (15ML),Pharma
LISTERINE COOL MINT M/W (80ML),Pharma
DETTOL LIQUID SOAP (100ML),Pharma
CONCOR T 5MG (10TAB),Pharma
INSTARAFT SUSPENSION (200ML) SF,Pharma
PANTOCID DSR (15 CAP),Pharma
NUHENZ (10 CAP),Pharma
UDILIV 150MG (15 TAB),Pharma
BUSCOGAST 10MG (10 TAB),Pharma
GODREJ AIR POCKET,Pharma
VILACT M 500 (10 TAB),Pharma
PANTOP DSR (15 CAP),Pharma
NEBICARD 2.5MG (15 TAB),Pharma
MEDROL 16MG (14 TAB),Pharma
TIGBODERM RF CREAM (5GM),Pharma
MAXTRA SYRUP (60ML),Pharma
PANTOP 20MG (10 TAB),Pharma
DUREX INVISEBLE  1*3,Pharma
FORCAN 200MG (4 TAB),Pharma
RHINOSET OXY NASAL SPRAY (10ML),Pharma
PICLIN SYRUP (150ML),Pharma
ZANDU BALM (8ML),Pharma
NEKO SOAP  (100GM),Pharma
JOHNSONS BABY SOAP 150 GM,Pharma
JOHNSONS BABY POWDER BLOSSOMS (200GM),Pharma
MOTHER CARE BABY SHAMPOO 300ML,Pharma
MUOUT POWDER (119GM),Pharma
SOHA 0.1% E/D (10ML),Pharma
DA ZEAGRA TAB,Pharma
FLOGEL E/D (10ML),Pharma
GLUCOSE D 250GM,Pharma
PATANJALI SWASARI PRAVAHI SYRUP (250ML),Pharma
HIMALAYA COMPLETE CARE TOOTHPASTE (150GM),Pharma
ZANDU NITYAM VATI (10 TAB),Pharma
MAXIRICH GOLD 30N,Pharma
TRYPTOMER 10MG (30 TAB),Pharma
ENERZAL LIME POWDER (100GM),Pharma
EYEMIST EYE GEl (10GM),Pharma
LATOPROST RT E/D (2.5ML),Pharma
SILVEREX IONIC GEL (10GM),Pharma
EZEDOC 10MG (10 TAB),Pharma
LOSAR H (15 TAB),Pharma
ROZUCOR 40MG (10 TAB),Pharma
VOLINI SPRAY (15GM),Pharma
CETJOINT FORTE (30 TAB),Pharma
FOLITRAX 7.5MG (10 TAB),Pharma
LACRIGEL OPHTHALMIC SOLUTION (5GM),Pharma
A TO Z DROP (15ML),Pharma
AMLIP AT (10 TAB),Pharma
COTTON BANDAGE 10 CM (4 inch.),Pharma
BACLOF 10MG (10TAB),Pharma
CIPLOX TZ (10 TAB),Pharma
SPORLAC (20 TAB),Pharma
SILVEREX IONIC GEL (20GM),Pharma
THERMOMETER DIGITAL DR ODIN,Pharma
CLOSEUP TOOTHPASTE (45GM),Pharma
AB PHYLLINE SR 200 (10 TAB),Pharma
ITROMED 200MG (10 CAP),Pharma
GM-SR 1 (10TAB),Pharma
BETADINE ONIT 10% (20GM),Pharma
DABUR HONITUS COUGH SYRUP SF (100ML),Pharma
GABANEURON (15 TAB),Pharma
PATE SAFA GRANULES (120GM),Pharma
HAMDARD JAWARISH KAMUNI (150GM),Pharma
PAMPER PANTS L36,Pharma
HIMALAYA BABY POWDER (100GM),Pharma
DOVE BABY SOAP RICH MOISTURE 50GM,Pharma
DOVE BABY SOAP RICH MOISTURE 75GM,Pharma
CRESAR AM (15 TAB),Pharma
EMOLENE CREAM (100GM),Pharma
SENSODENT K TOOTHPASTE (120GM),Pharma
EMBETA XR 12.5 (10 TAB),Pharma
EXERMET 500 SR (15 TAB),Pharma
WHISPER BINDAZ NIGHTS XL+  15 NOS,Pharma
AMYCLOX LB  (10 CAP),Pharma
RAMIPRES 2.5MG (10 TAB),Pharma
LASILACTONE 50MG (10 TAB),Pharma
JALRA M 50/1000 (15 TAB),Pharma
MEGANEURON OD PLUS (10 CAP),Pharma
TELPRES CT 40/6.25 (15 TAB),Pharma
ROZAT 10MG (15 TAB),Pharma
ARG 9 SACHET (5GM),Pharma
JANUMET 50/1000 (15 TAB),Pharma
DERIPHYLLIN M (10 TAB),Pharma
SENSODYNE RAPID RELIFE (40GM),Pharma
VICKS BABYRUB (25ML),Pharma
WIKORYL DS SUSPENSION (60ML),Pharma
JOSHANDA (25GM),Pharma
DUREX CON XTDT 1*10,Pharma
CENTRUM WOMEN (30TAB),Pharma
TASIRON 15 (10 TAB),Pharma
NIVEA MEN D.SPOT REDUCTION CREAM 30ML,Pharma
NIVEA COCOA NOURISH BODY LOTION  75 ML,Pharma
VALDIFF M 500 (15 TAB),Pharma
HAMDARD BADAM ROGHAN OIL (50ML),Pharma
SPECTACLE FRAME,Others
RX VX Liberty 3.0 S/R 1.56 Crizal Easy Pro BCT,Others
FSV AS 1.56 Crizal BCT Rock,Others
FF KODAK PRECISE SHORT 1.5 CleanNClear,Others
CHERICOF COUGH SYRUP (100ML),Pharma
FOURDERM CREAM (20GM),Pharma
PONDS POWDER 20GM,Pharma
AZEFLO NASAL SPRAY (7ML),Pharma
STIM FLOSSER,Pharma
LYSER D (15 TAB),Pharma
DUREX LUBE (50ML),Pharma
VERTIFORD 8MG (10 TAB),Pharma
TELVAS AM 80/5 (10 TAB),Pharma
PANTOCID D (10 CAP),Pharma
CAVERTA 50MG (4TAB),Pharma
MORISONS FEEDING BOTTLE GLASS 125ML,Pharma
HIPRES -25MG ( 14 TAB),Pharma
ROSUVAS 10MG (15 TAB),Pharma
CETAPIN XR 500MG (20TAB),Pharma
RABLET 20MG (15 TAB),Pharma
MEDERMA PM ACNE SCARS CREAM (10GM),Pharma
NEBICARD SM (10 TAB),Pharma
TELMA 80 H (15 TAB),Pharma
DABUR HONITUS MADHUVAANI (150GM),Pharma
MIXTARD 50HM PENFIL,Pharma
ROSULIP F 10 (10 TAB),Pharma
AMLOPRES AT (30 TAB),Pharma
EMBETA XR 25 (30 TAB),Pharma
TUSQ D COUGH LOZENGES (6 TAB),Pharma
TELVIN 40MG (10 TAB),Pharma
CLOCIP DUSTING POWDER (100GM),Pharma
EPTOIN 300ER (30 TAB),Pharma
CETAPHIL MOISTURISER LOTION 100 ML,Pharma
DYTOR 10MG (15 TAB),Pharma
RAZO D (15 TAB),Pharma
ERITEL CH 40 (15 TAB),Pharma
AMARYL 1MG (30 TAB),Pharma
SILODAL 8MG (10 CAP),Pharma
UROTONE 25MG (10 TAB),Pharma
ARICEP 5 (10 TAB),Pharma
FUCIDIN CREAM (15GM),Pharma
TEARDROPS E/D (10ML),Pharma
DABUR GULABARI ROSE WATER (250ML),Pharma
LOTUS SPF70 (60GM),Pharma
HAMDARD BADAM ROGHAN OIL (25ML),Pharma
OMNIPRES 40MG (10 TAB),Pharma
HIMALAYA LIV 52 (100 TAB),Pharma
DERMOCALM LOTION (100ML),Pharma
VASAKAMADHU COUGH SYRUP (100ML),Pharma
TUSQ D COUGH LOZENGES (6 TAB) SF,Pharma
WHISPER ULTRA HYGIENE XL+ 7PCS,Pharma
SOFY BODY FIT HYGENIE XL 18 (1*3),Pharma
V WASH (20ML),Pharma
NEBI AM (10 TAB),Pharma
IMMUNO VOLT ORANGE,Pharma
BOROPLUS CREAM (40ML),Pharma
VICCO TURMERIC 15 GM,Pharma
NURODAY D3 (15 TAB),Pharma
QUADRIDERM RF CREAM (5GM),Pharma
TELVAS 3D (10 TAB),Pharma
NIMULID,Pharma
HANSAPLAST HEAT PLASTER,Pharma
DENVER NANO DEO (50ML),Pharma
NAPROSYN D 250 (10 TAB),Pharma
RACIPER D (15 CAP),Pharma
PRIMOLUT N (10 TAB),Pharma
MEGAHEAL GEL (50GM),Pharma
VEET HR CREAM MEN S SKIN (30GM),Pharma
PARACHUTE OIL (250ML),Pharma
MACBERY COUGH SYRUP (100ML),Pharma
HIMALAYA PILEX FORTE OINT (30GM),Pharma
GARNIER MEN DOUBLE ACTION F/W 50GM,Pharma
GLUCOPLUS C ORANGE 450GM,Pharma
LOBATE GM NEO CREAM (20GM),Pharma
TYNOR KNEE CAP L,Pharma
ODOMOS CREAM 50 GM,Pharma
TFCT NIB (10 TAB),Pharma
DETTOL SOAP COOL 10RS,Pharma
SENSODYNE SENSITIVITY AND GUM (70GM),Pharma
MAXMOIST E/D (10ML),Pharma
DUREX CON XTDT 1*3,Pharma
DERMACO 2% SALICYLIC ACID FACE SERUM 30ML,Pharma
DERMACO 1% SALICYLIC ACID FACE WASH (100ML),Pharma
ZANDU BRENTO (30 TAB),Pharma
ZENTEL SUSPENSION (10ML),Pharma
SALICYLIX SF6 OINT (50GM),Pharma
A RET GEL 0.05% (20GM),Pharma
UVEDGE SUNSCREEN GEL SPF50 (50ML),Pharma
LOTUS KIDS SUNSCREEN SPF25 (100GM),Pharma
MEGALIS 20 MG ( 4 TAB),Pharma
MONTAIR 5MG (15 TAB),Pharma
FIDONAL CREAM (30GM),Pharma
NASIVION MINI NASAL DROPS (10ML),Pharma
ORTHODEX GEL (50GM),Pharma
SUGAR FREE NATURA 100 PELLETS,Pharma
KIDODENT TOOTHPASTE (75GM),Pharma
ICPA KIDS DYNY BRUSH,Pharma
SUMASELF NASAL SPRAY (1ML),Pharma
SAFI SYRUP (100ML),Pharma
DABUR MESWAK TOOTHPASTE (200GM),Pharma
KEO KARPIN HAIR OIL (200ML),Pharma
VASELINE  DAILY BRIGHTENING LOTION 100ML,Pharma
KT 5 DERM CREAM (15GM),Pharma
MOTHER CARE BABY SOAP 75GM,Pharma
CHICCO BABY BODY WASH & SHAMPOO 200ML,Pharma
GEMER-2 (15 TAB),Pharma
DOVE SHAMPOO POUCH,Pharma
HIMALAYA GASEX (100 TAB),Pharma
BIO TRUE LENS SOLUTION 120ML,Pharma
DUREX CON XTHN 1*3,Pharma
KOMBIGLYZE XR 5/500 (7 TAB),Pharma
DENVER DEO (140ML),Pharma
HEPTAGON (10 TAB),Pharma
CINTHOL SOAP (100GM) SET OF (4+1),Pharma
BILASHINE 40MG (10 TAB),Pharma
BAIDYANATH ABHAYARISHTA (450ML),Pharma
BILASURE M (10 TAB),Pharma
DAPLO S 10/100 (10 TAB),Pharma
DERMACO 1% HYALURONIC SS AQUAGEL SPF50 (50GM),Pharma
BAIDYANATH CHANDRAPRABHA BATI (80TAB),Pharma
ZENTEL (1 TAB),Pharma
